avg_weight_g,shrimp_count,biomass_kg,feed_amount,feeding_frequency,rolling_feed_kg_7d,dissolved_oxygen,temperature,ammonia,ph,salinity,days_normalized,weight_lag_7d,weight_lag_14d,days_to_harvest,harvest_biomass_kg,early_harvest_risk,weight_delta_next
19.1976,153615,2949.0318,137.1847,3,123.9932,4.8559,30.2668,0.2772,7.9757,21.5248,0.573064,18.8147,18.0205,4,2485.5872,1,0.013437
19.3464,83925,1623.6486,382.137,5,60.0996,4.6921,29.5842,0.2291,8.0148,17.1534,0.677383,19.2628,18.8304,15,1380.8943,1,0.0
12.3954,198481,2460.257,176.6496,4,21.7197,4.9624,30.3131,0.1998,7.6411,19.769,0.340516,10.7485,8.9556,59,3389.5233,1,0.223162
24.1627,186139,4497.6215,334.1371,3,54.4747,6.9485,28.7496,0.091,7.7162,20.9475,0.770227,24.1627,24.1611,0,3989.3784,0,0.0
23.8305,163530,3897.0053,414.0381,4,61.0999,6.0612,29.4127,0.1231,7.9101,15.8317,0.570734,22.9266,21.6552,0,3754.2678,0,0.09697
14.7487,160298,2364.1874,185.001,4,26.9974,6.3614,27.2577,0.1547,8.0396,19.185,0.26565,12.3994,9.762,41,3439.8918,0,0.311599
4.235,114939,486.7685,134.6014,2,130.1258,4.4897,28.5857,0.2962,7.7469,19.611,0.075332,2.1325,2.1325,37,1198.7808,1,0.296442
15.9585,210560,3360.2232,87.2268,5,69.3898,5.9358,30.6457,0.1472,7.692,22.1937,0.352818,14.0638,11.9173,38,4015.2431,1,0.249628
22.2857,162052,3611.4435,375.3127,3,114.3677,5.9234,27.114,0.1625,7.8571,18.0233,0.647183,22.0525,21.3881,0,3510.1575,0,0.0
23.2883,124572,2901.0757,204.8752,5,44.9593,6.9962,29.0251,0.0691,7.8432,21.7775,0.538916,22.0398,20.5203,0,2828.8981,0,0.155408
3.8618,153733,593.6804,168.2616,5,101.5316,5.3331,30.6918,0.2743,7.8575,20.0653,0.080731,1.8148,1.4936,8,802.0124,1,0.282241
9.1231,154767,1411.9487,117.7035,4,118.4077,5.9725,28.0508,0.2282,8.0133,21.4079,0.275635,7.5401,5.8385,70,2274.0257,1,0.216315
16.2173,156227,2533.583,386.6217,3,65.9289,5.681,28.9798,0.176,7.6692,24.0115,0.272679,13.7879,11.0289,26,3294.225,0,0.319494
18.1631,199285,3619.6352,170.2295,5,81.3534,6.5287,28.7974,0.1946,7.8748,19.2556,0.387381,16.4651,14.4829,30,3779.653,1,0.218681
17.9128,87237,1562.6594,230.3784,3,93.7244,6.1192,30.2491,0.1566,7.7454,18.7047,0.401055,16.2566,14.3313,31,1634.9279,1,0.214
9.1497,175538,1606.1184,202.3928,5,49.4573,5.2392,28.3433,0.2011,7.726,19.5935,0.207864,7.2423,5.1675,60,2599.1365,1,0.258623
15.2188,62592,952.5752,151.8235,3,60.9553,5.1503,30.5397,0.219,7.5253,18.3881,0.398133,13.8797,12.2542,22,906.4659,1,0.167016
4.4309,94759,419.8707,257.1243,4,36.3656,6.338,27.7677,0.0988,7.8651,20.1888,0.082561,1.8675,0.8405,83,1608.2646,1,0.352667
16.4658,178777,2943.7021,304.3375,3,97.8768,7.1804,28.7768,0.0606,7.8107,21.0036,0.342197,14.3397,12.0325,23,3630.9068,0,0.288719
22.1069,59207,1308.8813,168.7501,2,31.8146,7.0246,29.9493,0.0931,7.7837,18.8875,0.453421,20.5301,18.6215,0,1205.2856,0,0.197143
9.0289,84341,761.5087,135.1261,4,122.1555,4.3434,31.4627,0.2495,7.7342,20.318,0.253705,7.3251,5.4555,1,644.1165,1,0.229621
15.3786,59077,908.5211,94.7485,5,94.4173,7.0154,27.9065,0.0419,7.71,19.9931,0.251642,12.7326,9.7976,24,1229.3607,1,0.353947
24.7728,93677,2320.6418,448.8698,5,81.9912,7.3409,27.3442,0.0656,7.7758,17.8542,0.453421,23.0786,20.9869,0,2156.2767,0,0.208213
23.309,124594,2904.1586,196.3713,4,28.964,6.2316,28.3226,0.1794,7.909,17.6711,0.677236,23.1731,22.5991,0,2780.0197,0,0.0
18.6101,95405,1775.4996,405.9132,5,28.0506,6.7532,27.7467,0.0658,7.8639,19.8866,0.388149,16.4877,14.1514,14,2069.0393,0,0.285438
22.0504,132215,2915.3894,345.1432,4,59.7194,7.1234,29.562,0.0689,8.0177,22.5424,0.430875,20.2829,18.1487,0,2706.2101,0,0.22146
14.1777,172058,2439.3893,389.8661,5,126.3292,4.5893,27.7174,0.2539,8.0285,19.9846,0.4912,13.217,12.0673,24,2249.361,1,0.121268
19.5785,154070,3016.4653,227.0688,2,114.3907,5.8904,29.4593,0.1634,7.8685,18.4612,0.641151,19.5785,19.355,15,2678.6677,1,0.0
16.1082,120945,1948.2096,116.424,2,70.94,5.2021,29.4955,0.1965,7.6516,23.3143,0.580705,15.2079,14.1585,29,1905.535,1,0.116094
10.0426,197396,1982.3734,309.2928,3,77.1307,5.1349,27.7575,0.2072,7.8735,20.7108,0.261692,8.1627,6.1404,70,3415.6799,1,0.256769
16.6323,213355,3548.5817,335.416,5,122.4105,4.5799,30.8015,0.3009,7.9795,21.6813,0.510053,15.8107,14.7212,15,2888.6072,1,0.094215
11.0786,171162,1896.2328,323.8972,3,93.9022,4.9403,28.6056,0.2585,7.719,17.9273,0.256312,9.105,6.9551,58,2909.8764,1,0.267312
13.7647,204860,2819.8353,387.2749,4,133.1702,4.3966,29.0786,0.2968,7.9603,22.4213,0.476347,12.7053,11.4892,7,2640.0141,1,0.138202
13.9424,109502,1526.7237,357.1343,4,89.2982,4.7552,30.3597,0.2568,7.8444,21.0231,0.319936,12.1807,10.171,3,1277.5642,1,0.230919
19.7686,131209,2593.8209,115.961,3,63.2696,5.5782,28.8449,0.1979,7.8859,21.6077,0.621336,19.7686,19.5669,15,2188.4925,1,0.0
15.1509,93954,1423.4916,335.4038,3,70.5004,5.0667,28.3065,0.1885,7.6378,16.8568,0.482172,13.961,12.6358,45,1614.8193,1,0.158731
13.2848,157298,2089.668,300.944,2,24.2829,4.2799,30.0609,0.3031,8.0117,17.1697,0.450016,12.0726,10.723,18,2175.8373,1,0.161717
24.5939,123448,3036.066,213.9544,2,62.6577,7.3007,29.2499,0.0784,7.8829,20.4747,0.435571,22.8208,20.5986,0,2739.0021,0,0.214997
9.7505,101369,988.3955,134.8835,3,52.652,4.6118,28.8368,0.3046,7.9689,15.9815,0.267889,8.1902,6.4978,8,1007.3614,1,0.211942
22.2557,61640,1371.8425,237.9027,4,56.6368,6.8583,28.8806,0.1253,7.7308,20.5975,0.582297,21.0442,19.6294,0,1228.1611,0,0.155987
6.4707,161434,1044.5956,357.6052,2,133.9227,4.6951,28.9256,0.206,7.8095,21.3439,0.10418,3.8501,2.1804,56,2337.2661,1,0.353853
17.4387,192902,3363.9533,440.5822,2,89.6471,5.5291,28.1716,0.2342,7.6554,18.3708,0.529106,16.5679,15.4492,16,2967.2986,1,0.103135
15.5707,61057,950.7019,276.2786,5,69.9717,4.701,30.1111,0.2586,7.8119,19.697,0.613474,14.8652,13.9897,6,764.899,1,0.086309
12.2767,120234,1476.0778,184.8012,5,79.6387,4.413,28.5479,0.2113,7.8518,19.0173,0.226008,9.8566,7.1562,45,1966.8801,1,0.322363
8.2452,138201,1139.4962,165.141,4,26.8347,4.5788,28.811,0.2851,7.9463,19.0463,0.184457,6.3628,4.2916,2,952.7931,1,0.253233
15.3283,153171,2347.8449,387.8496,4,27.6952,5.2911,29.5053,0.2188,7.7523,23.2061,0.471716,14.1092,12.752,45,2642.8689,1,0.162638
17.0592,106140,1810.6607,349.1303,3,42.2785,6.2254,29.3983,0.1184,7.8461,15.66,0.32112,14.8941,12.4285,24,2091.1497,0,0.284158
8.2561,143786,1187.108,315.0604,4,122.091,4.9885,29.4746,0.1963,7.5914,21.4333,0.174526,6.1561,3.8934,68,2389.681,1,0.286545
12.4181,194676,2417.5023,307.5531,5,71.5567,5.3025,30.2709,0.2333,7.9293,23.5414,0.246167,10.0661,7.4256,42,3178.3943,1,0.311929
18.5599,202347,3755.5479,207.072,2,76.8397,5.6992,28.717,0.2051,7.9019,20.3544,0.649029,17.8466,16.9589,19,3254.6729,1,0.087042
20.5654,56534,1162.6434,114.9672,5,46.2589,6.6819,29.6939,0.0807,7.9876,20.7045,0.411553,18.7979,16.6967,8,1192.8471,0,0.224333
18.7318,209150,3917.7596,194.5453,5,84.9023,6.314,30.1864,0.0849,7.7244,21.6885,0.478721,17.2902,15.6802,22,4219.908,0,0.191923
26.893,78600,2113.7889,449.9913,3,23.5341,6.8713,28.6019,0.0628,8.1249,18.1419,0.726003,26.3559,25.5183,0,2038.6285,0,0.049701
5.3157,179942,956.5157,379.3462,3,96.8348,6.7573,29.5651,0.1484,7.9686,23.2143,0.069977,2.5097,2.1867,62,3523.5905,0,0.386701
17.7403,144823,2569.1967,243.021,4,111.8622,5.0671,32.0305,0.2417,7.5963,21.0378,0.60596,16.9524,15.9893,21,2252.3007,1,0.097689
14.1476,66818,945.315,111.0338,3,52.3717,4.8949,28.0897,0.3138,7.8153,17.6614,0.495164,13.2278,12.1131,8,813.4061,1,0.114911
18.7669,166812,3130.5376,131.3533,5,62.4533,7.3906,27.3064,0.069,7.7869,19.1357,0.322851,16.1934,13.3346,11,3262.841,0,0.343878
18.0926,124994,2261.4686,121.0174,5,90.3034,5.5613,29.3782,0.2451,7.6632,21.7159,0.558227,17.4555,16.5281,15,1793.1708,1,0.065393
13.6831,133782,1830.5483,445.6826,2,62.8832,5.0308,29.9774,0.2418,8.0167,22.2264,0.363596,12.1055,10.3364,42,2047.408,1,0.209399
3.7562,103190,387.604,96.4042,4,116.2548,5.1686,29.2957,0.2055,7.8763,16.7694,0.053848,2.464,2.464,84,1496.7245,1,0.294735
14.6687,135192,1983.089,445.9754,5,49.9175,4.1185,29.919,0.2928,7.8718,24.4946,0.515469,13.6602,12.5049,20,1951.0406,1,0.13177
5.0213,52412,263.175,401.9138,4,90.0759,5.5614,28.4508,0.1927,7.8087,18.2702,0.101718,2.912,1.6364,85,841.7204,1,0.290478
18.163,67090,1218.5573,167.3183,4,57.3337,6.0625,28.397,0.1875,7.8953,19.0623,0.545055,17.1563,15.9572,25,1201.6491,1,0.127577
13.9212,49534,689.5724,148.8378,5,126.1238,4.9432,28.7398,0.2236,7.7953,25.0025,0.277524,11.7389,9.2276,33,750.9172,1,0.284169
15.3683,186839,2871.3922,437.9977,4,96.9379,5.3151,29.8467,0.2237,7.8831,18.4326,0.500575,14.2891,13.0591,36,2868.3946,1,0.141556
7.2047,183611,1322.8622,167.5924,5,20.2802,4.0426,29.7863,0.2329,7.9061,25.7266,0.159796,5.0367,2.7,68,2800.8053,1,0.295764
23.1095,215166,4972.3736,317.6653,5,65.0145,7.5162,28.5994,0.0452,7.817,20.3481,0.499386,21.756,20.086,0,4632.9394,0,0.166439
22.9213,73344,1681.1402,425.853,3,52.6571,6.716,29.931,0.0606,7.7485,19.8067,0.617503,21.8441,20.5528,0,1637.5825,0,0.135806
19.3767,171110,3315.54,303.9014,2,104.1945,6.445,28.4034,0.1109,8.0995,21.6607,0.454798,17.667,15.7595,13,3324.286,1,0.227767
21.4363,129515,2776.3198,377.7346,5,50.0824,6.4566,27.5953,0.152,7.7758,24.8559,0.616886,20.5622,19.4519,7,2534.7126,1,0.104679
19.3876,100845,1955.1378,252.5948,4,66.0966,6.2559,26.8991,0.1392,7.8402,18.2353,0.496662,18.1572,16.6728,23,1773.9359,1,0.154251
14.2693,72884,1040.0014,448.5087,5,80.341,4.8311,30.5601,0.2288,7.836,18.7236,0.310054,12.4937,10.4252,2,943.0032,1,0.229053
15.9554,199429,3181.9687,349.178,5,53.9634,7.4354,27.5787,0.0467,7.8774,21.2175,0.306338,13.8401,11.4997,28,4040.4297,0,0.283457
14.6151,113933,1665.1459,374.112,4,84.8201,4.7552,30.9242,0.2261,8.0894,23.6907,0.389545,13.2772,11.691,26,1580.7973,1,0.170193
6.31,100742,635.6869,225.3932,4,77.943,7.232,27.4052,0.0936,8.0543,22.9558,0.068762,2.4461,1.7447,42,2081.13,0,0.525113
3.7327,149459,557.8835,178.2463,3,102.6567,5.9862,28.5287,0.2444,7.9673,17.9718,0.054144,1.6696,1.6696,78,2429.4432,1,0.362619
24.7488,165837,4104.2694,231.8396,5,109.7978,7.6212,29.1568,0.0955,7.8649,19.5535,0.615206,24.5588,23.8292,0,3913.7646,0,0.0
19.2767,180098,3471.6922,346.7421,4,87.3667,5.9134,30.1542,0.2147,7.7885,21.5646,0.486039,18.2422,16.8519,15,2994.1993,1,0.116945
21.6114,92855,2006.7285,125.0934,5,115.5461,6.5117,30.3637,0.1179,7.9514,23.2581,0.729683,21.6114,21.5978,15,1697.4856,1,0.0
4.0289,92448,372.4629,287.9467,4,35.2964,4.1477,28.776,0.2524,7.9005,23.6567,0.072798,2.0688,2.0688,7,469.8439,1,0.291105
2.7967,101204,283.0358,318.9822,2,92.6813,4.9767,30.4515,0.1975,7.7554,21.6098,0.045553,0.791,0.791,88,1822.5947,1,0.383527
19.6461,77604,1524.6122,357.1312,4,116.0056,6.8869,29.2504,0.1497,7.959,16.9817,0.73277,19.2482,18.641,15,1245.0091,1,0.038114
10.0649,73436,739.1227,249.7984,4,108.3462,3.6044,29.7772,0.2909,7.7415,20.3438,0.255088,8.1708,6.1036,1,633.416,1,0.256219
17.2506,216794,3739.8289,256.658,3,17.725,5.5718,28.4654,0.2083,7.8064,20.5226,0.483595,16.2064,14.9066,19,3407.6048,1,0.127404
17.4585,206543,3605.9292,408.4865,4,97.5036,5.4327,29.7545,0.175,7.7332,21.6359,0.478512,16.2253,14.7587,26,3534.0698,1,0.156467
19.7028,177536,3497.9575,376.7381,3,104.0803,6.3104,30.0387,0.1638,7.7712,15.7822,0.759687,19.2039,18.5252,15,3107.7579,1,0.055646
18.2786,194535,3555.8343,243.481,3,96.8085,6.6878,30.1516,0.1506,7.8038,18.8324,0.437797,16.7455,15.0001,27,3980.6297,0,0.201265
13.9222,45527,633.834,160.6235,2,21.9835,5.5731,28.7763,0.1689,7.9411,20.209,0.353235,12.2346,10.3351,41,727.2959,1,0.223387
5.8537,111933,655.2197,401.7595,5,65.3313,4.4709,28.0082,0.3086,7.8265,14.4834,0.086271,3.051,2.4888,11,883.6972,1,0.379171
15.9529,64747,1032.904,379.5069,5,92.6694,5.4225,29.0318,0.2544,8.0281,18.7685,0.427028,14.6732,13.1532,26,1019.9246,1,0.162545
15.7675,180811,2850.9408,131.8502,4,43.1216,6.1321,28.4967,0.1789,7.8854,16.7526,0.487125,14.5165,13.1141,42,3181.5634,1,0.166086
24.2246,142425,3450.1902,298.9168,3,84.5543,6.3917,29.9931,0.1099,7.7676,20.8292,0.655454,23.5159,22.5121,0,3183.5597,0,0.075354
21.3841,168825,3610.163,378.1372,2,78.771,6.5088,29.666,0.1308,7.7141,20.9887,0.63102,20.386,19.215,6,3643.7112,0,0.12802
15.4799,162892,2521.5504,303.0812,2,41.1679,4.3775,30.9491,0.2805,7.8847,21.4721,0.474764,14.5919,13.4194,8,2256.5891,1,0.102305
17.55,107870,1893.1186,176.7778,5,67.0322,6.7399,30.9221,0.0806,7.7833,18.1922,0.400857,15.6217,13.5121,20,2280.7316,0,0.260419
13.2214,171002,2260.8778,189.2211,3,50.0897,7.3666,28.5449,0.0664,7.6999,19.1292,0.276358,11.0221,8.6376,41,3472.8048,0,0.298828
10.3409,130455,1349.0222,419.2528,2,81.5188,4.6438,28.5831,0.2582,8.0361,21.5509,0.234662,8.3671,6.212,57,2091.8451,1,0.266931
4.8779,55578,271.1037,315.9596,5,86.5409,7.3034,29.1858,0.095,7.8759,22.1645,0.045815,2.1542,2.1542,59,1079.3335,0,0.493701
20.4691,87169,1784.2705,309.3189,4,106.3655,6.2778,27.8392,0.1348,7.8221,22.1221,0.44347,18.7687,16.7742,8,1741.6038,0,0.218164
23.7835,61362,1459.4058,220.3277,5,21.8358,6.3575,29.6112,0.0859,7.9774,17.3742,0.783698,23.7835,23.7835,0,1285.6562,0,0.0
15.0969,58010,875.77,422.4664,2,40.5987,4.6327,29.8821,0.3083,7.6651,19.3897,0.466059,13.9567,12.6242,2,739.6213,1,0.146714
24.2654,112173,2721.9225,353.7057,2,71.6285,6.3786,27.0815,0.11,7.7838,17.7632,0.666859,24.2654,24.0931,0,2660.4951,1,0.0
16.2084,209699,3398.8889,239.7837,5,28.5808,4.5391,29.4033,0.2609,8.2218,18.1276,0.618421,15.7273,15.0273,4,2761.5336,1,0.049425
13.3356,123547,1647.5714,285.2538,5,27.9084,6.1021,28.4737,0.16,7.902,20.953,0.279175,11.2175,8.9144,44,2424.9809,0,0.287252
4.3839,74662,327.3086,179.5,4,72.3047,5.9708,27.732,0.1659,7.8459,16.9854,0.050922,2.0904,2.0904,64,1459.1005,0,0.410738
11.8552,211044,2501.9634,202.9204,5,104.3316,6.4392,28.2475,0.1069,7.93,21.0616,0.230441,9.5304,6.9825,54,3785.6455,1,0.313587
25.997,166617,4331.5405,261.6727,3,50.558,7.0405,28.4456,0.0697,8.1353,21.6282,0.75926,25.997,25.9825,0,3933.1688,0,0.0
22.4877,184594,4151.0898,387.5743,2,104.6256,6.6395,30.3048,0.105,7.9271,19.5189,0.786296,22.4877,22.4877,0,3983.2433,0,0.0
16.8282,166049,2794.3044,281.1487,4,101.3558,6.1543,30.7292,0.1973,7.8658,15.5044,0.535664,15.917,14.8001,21,2664.6897,1,0.112711
9.6809,214191,2073.5594,202.6908,5,29.5971,5.3062,28.3198,0.1895,7.7439,17.7199,0.22784,7.882,5.9296,61,3166.7563,1,0.24425
23.0599,96700,2229.8942,420.6026,2,28.3891,6.0672,29.1122,0.1044,7.7861,22.2963,0.522344,22.0336,20.631,0,2172.0677,0,0.113879
16.5721,65139,1079.4904,394.1966,2,94.2991,5.8609,28.7837,0.1482,7.7821,23.4657,0.393702,14.9999,13.1715,31,1075.9505,1,0.203088
6.5328,152468,996.0474,153.01,5,62.0788,5.673,30.1843,0.1946,8.0073,19.5568,0.161768,4.5931,2.5315,85,2558.5731,1,0.267044
7.6688,195961,1502.7794,275.2546,4,79.2628,6.9503,28.9648,0.0988,7.7597,20.4112,0.085061,3.8255,2.0294,36,4070.3719,0,0.522508
19.6254,166351,3264.711,269.0052,5,88.5851,5.1124,29.0699,0.222,7.8948,19.5664,0.644626,19.3109,18.6735,15,2713.1706,1,0.012982
17.3196,153396,2656.7518,400.2432,2,78.1475,4.8033,30.0288,0.2791,7.9388,23.5458,0.731037,17.3115,17.0611,13,2126.5056,1,0.0
21.2221,178000,3777.5346,243.3056,3,130.7076,5.5651,28.746,0.1099,7.7516,16.7536,0.598846,20.6845,19.8,15,3112.6289,1,0.045113
20.5926,86465,1780.537,379.96,4,114.8914,5.7871,29.4774,0.1393,8.0573,19.8688,0.791151,20.3091,19.8057,15,1544.5823,1,0.019927
19.259,211669,4076.5233,270.3335,2,33.9465,4.4827,29.195,0.2645,8.1406,19.3096,0.651814,18.857,18.1694,15,3455.4586,1,0.031034
15.3307,69880,1071.3091,313.9887,5,64.6766,4.9933,29.3043,0.2815,7.9165,18.3378,0.533589,14.5051,13.4648,1,924.5601,1,0.099611
16.5834,156097,2588.6163,337.9969,2,115.8374,4.2826,29.6519,0.2794,7.6794,24.4616,0.562694,15.6271,14.5054,13,2324.2217,1,0.12269
7.8736,97826,770.2438,403.5366,4,27.0651,6.4391,26.0809,0.1894,8.059,17.7708,0.160154,5.3464,2.6495,60,1973.9279,0,0.347021
15.1694,135902,2061.5569,244.6747,2,100.8206,5.0291,29.5593,0.2312,7.8968,22.3687,0.51087,14.1797,13.0289,30,2006.9284,1,0.127862
4.8242,180355,870.0608,358.6684,3,88.6758,6.3484,29.6533,0.1547,7.8978,19.2614,0.094788,2.642,1.4024,93,3220.9377,1,0.301388
10.4777,69502,728.2228,125.5682,5,55.5574,6.2081,26.6746,0.1211,7.7636,20.8707,0.147982,7.1855,3.5528,39,1413.8497,0,0.442002
16.7199,80953,1353.5244,304.5629,3,107.013,5.9106,29.5829,0.217,7.9904,16.6514,0.466931,15.6483,14.3158,19,1227.2245,1,0.130849
22.846,195642,4469.64,290.3007,4,73.9992,6.5278,27.9531,0.1431,7.8007,20.9737,0.359973,20.6026,17.9123,0,4010.5053,0,0.282715
3.1274,179244,560.5652,236.7228,5,24.6756,6.5208,29.7144,0.1011,7.8069,23.0758,0.052012,0.7387,0.7387,72,3688.4427,0,0.380433
9.028,172742,1559.5072,393.1932,2,47.2432,4.5535,30.3688,0.2531,7.6936,22.8344,0.187459,6.7285,4.2062,54,2721.5981,1,0.30998
17.2577,105673,1823.6704,271.3725,4,36.8125,5.5762,29.8312,0.2056,7.9902,20.1669,0.483719,16.3774,15.1825,15,1554.7391,1,0.098434
25.3491,108021,2738.2329,264.8557,3,53.922,7.1003,28.8951,0.0603,7.697,21.9508,0.620239,24.1779,22.7539,0,2479.5016,0,0.145874
19.1408,207953,3980.39,397.2695,5,38.9139,7.2563,28.5915,0.0923,7.7992,20.7651,0.423285,17.4545,15.5395,16,4156.4572,0,0.221798
6.689,99372,664.7028,111.9626,5,18.815,4.4604,29.598,0.2336,7.9932,22.2962,0.129026,4.4377,2.1694,13,844.5384,1,0.305913
17.6786,86679,1532.3647,262.0507,2,140.5425,3.9501,30.6393,0.2538,7.9671,21.4931,0.658044,17.6449,17.2743,3,1273.2349,1,0.0
14.1027,67873,957.1909,187.9201,4,129.0224,4.6078,29.3489,0.2034,7.949,22.7247,0.38551,12.5423,10.8278,52,1119.6701,1,0.210119
7.4382,66128,491.8764,212.5664,3,74.9416,4.5967,30.0661,0.286,7.751,20.5411,0.216875,5.8113,4.0652,3,473.3591,1,0.22256
8.8369,211616,1870.0246,396.2025,3,29.9354,4.7447,29.5019,0.2961,7.8806,20.5269,0.197859,6.8338,4.6359,1,1700.9679,1,0.269983
13.0484,205550,2682.107,107.7453,2,37.181,6.4495,27.8198,0.0602,7.9877,21.3385,0.189596,9.6524,5.8854,26,4312.8402,0,0.454279
7.0942,203953,1446.8808,181.7433,5,129.3114,3.8869,30.3547,0.2604,7.8529,18.3255,0.122003,4.5239,2.2098,1,1315.0817,1,0.346651
21.7022,155382,3372.1318,376.8022,2,120.3373,7.1747,29.0072,0.0835,7.9597,18.3803,0.430964,19.9806,17.905,2,3294.325,0,0.216003
19.0677,137650,2624.669,363.7316,3,126.3768,6.0093,29.6044,0.173,7.7231,25.7643,0.418462,17.3075,15.3052,16,2711.2967,0,0.231212
5.0572,192913,975.5986,145.1571,4,119.5106,4.7992,30.714,0.2498,7.7096,23.0243,0.081577,2.4838,2.1509,3,1025.9031,1,0.350597
6.6304,137128,909.2164,80.2529,3,119.373,4.133,29.7276,0.2687,7.8531,20.1532,0.182842,4.9791,3.2191,5,868.3789,1,0.226938
13.4156,215775,2894.7487,350.9702,5,113.3803,5.271,28.735,0.2082,7.7952,21.5105,0.436388,12.183,10.797,41,3323.3632,1,0.163274
17.1971,172545,2967.2774,431.0516,5,123.7107,4.6773,30.9293,0.2721,7.9416,19.6066,0.561837,16.2442,15.0983,8,2563.408,1,0.119829
12.3245,46994,579.1759,157.5832,2,58.3915,5.2495,29.9115,0.1731,7.8359,18.2062,0.276637,10.2752,7.9928,45,796.5947,1,0.273327
16.009,177692,2844.6723,163.4656,5,23.496,6.9741,28.0704,0.07,8.0091,20.6331,0.356407,14.0011,11.7895,29,3774.5344,0,0.269923
9.6145,152387,1465.1242,258.6126,2,64.8161,5.7025,26.906,0.1301,7.9843,21.4829,0.166054,7.1742,4.5134,58,2689.7901,1,0.330329
9.4152,113757,1071.0415,283.3752,5,37.193,3.7195,28.9091,0.2459,7.806,19.7364,0.289988,7.9772,6.4021,7,992.0674,1,0.194021
14.7208,199961,2943.5924,216.6786,5,21.2496,6.2373,28.7451,0.14,7.7762,19.65,0.264381,12.1281,9.2397,29,4080.0709,0,0.345764
20.3185,136451,2772.4761,437.2823,5,76.5882,7.0586,27.6505,0.0819,7.7638,21.8355,0.56402,19.1448,17.783,14,2720.7151,0,0.151879
16.9956,211085,3587.5259,141.851,3,110.2132,5.8824,29.6817,0.1725,7.9744,19.3155,0.470082,15.8535,14.4869,25,3290.2135,1,0.144217
19.6499,102072,2005.7033,182.1943,5,125.2643,5.4057,31.4486,0.2044,7.827,18.4645,0.789619,19.6499,19.6413,15,1626.0988,1,0.0
8.1548,181420,1479.4436,370.7259,4,110.3865,7.0088,26.4334,0.0672,7.8958,20.5565,0.126056,5.2488,2.1445,46,3621.5333,0,0.398759
13.1012,92002,1205.3389,217.8031,4,113.2925,5.1825,29.8231,0.2182,7.7233,22.1631,0.343897,11.4984,9.7188,47,1440.4885,1,0.214259
5.7858,157972,913.9936,149.5362,3,133.0925,4.5211,27.9486,0.2931,7.8348,22.0614,0.112231,3.3895,1.5341,5,1027.674,1,0.325709
20.3919,108065,2203.6477,153.6706,4,112.1078,6.0612,30.9394,0.1774,7.8894,20.6304,0.546561,19.9232,19.0137,15,1889.6666,1,0.024223
